Date,Region,TradePolicyScore,ImportTariffs(%),ComplianceRating,InflationRate(%),ExchangeRate,LaborCostIndex,RevenueImpact(millionsUSD),ConsumerSentimentScore,EthicalSourcingScore,AutomationAdoptionScore,LogisticsEfficiency,CarbonEmissionsReduction(%),SustainabilityScore,SupplyChainViolations,RegulatoryFines(millionsUSD)
20-01-1980,UK,46.86554771,15.42042211,7,9.044049039,1.760857328,27.72023028,-25.81982497,79,27,66,19,18.71005128,54,19,4.565476213
21-01-1980,Brazil,45.59559528,14.96592947,8,9.094710693,1.759862498,16.43646836,16.30257644,89,36,59,14,26.38429063,10,4,13.17015229
22-01-1980,USA,36.1055758,7.313510712,2,4.342597602,0.854546631,14.11394375,49.93415444,67,81,99,41,2.824836665,51,12,12.86962541
23-01-1980,Australia,35.55685737,17.09733387,6,0.943862004,0.97742773,13.48149348,32.81597112,55,6,0,3,28.82240012,94,8,10.0440444
24-01-1980,Mexico,62.40525173,19.86994387,5,7.265599082,1.553716677,53.99997908,-20.34338549,54,48,88,28,6.233493709,74,9,7.085023034
25-01-1980,Germany,73.75590223,2.821454124,5,3.369286726,1.607398885,32.97822725,24.30545339,91,83,19,54,28.09639052,47,10,9.276018622
26-01-1980,USA,69.52602551,13.33803577,3,7.949295174,1.486447403,72.13376092,29.62590567,67,23,16,74,26.04059737,6,5,10.94938153
27-01-1980,Australia,37.0553797,2.531629525,3,1.636902839,1.995041956,68.85024166,11.13986847,62,79,48,48,23.10564409,53,4,14.62877085
28-01-1980,China,57.27910609,21.81435048,6,5.395151136,1.803024818,58.78180064,-23.69974818,69,12,21,70,6.283025713,0,4,1.825922869
29-01-1980,Canada,35.2795773,12.69091807,7,5.080737303,1.125588321,41.75589533,-27.22510118,87,91,32,74,6.493140043,86,15,4.696091714
30-01-1980,India,32.26473218,20.19914223,1,1.003144906,0.990465082,86.54106205,45.02477578,70,6,25,53,7.779145725,31,7,11.7107447
31-01-1980,Germany,62.81929297,9.202140942,3,3.633328257,1.395274622,73.8732478,-9.398882762,53,14,26,32,24.31369297,61,14,6.137700336
01-02-1980,China,56.75761668,3.12695567,1,0.847553134,1.726454504,34.43735116,0.317450161,62,86,59,93,5.630678559,14,14,10.08719957
02-02-1980,Brazil,34.10118426,1.03748261,3,4.647403095,1.213015211,55.15197961,33.62220328,67,22,33,95,17.4252233,81,8,1.996769615
03-02-1980,China,31.74696232,7.037740519,5,8.429045586,1.60653891,24.06440879,25.14085974,62,94,86,36,23.32587131,91,14,10.63742406
04-02-1980,Canada,79.48782067,6.105842509,9,2.702047633,0.528740059,39.5898662,47.485256,62,68,79,76,13.81890224,60,7,10.11095728
05-02-1980,Brazil,31.50106661,14.00879935,3,7.648619872,1.888760162,99.74261646,-22.57286398,88,90,77,6,25.22238203,77,13,8.787301002
06-02-1980,Germany,52.22641265,0.543470952,9,1.834274156,1.660752091,30.14597982,26.55356593,86,59,51,23,16.86308995,76,6,11.47856948
07-02-1980,Canada,55.23095123,13.01426361,1,6.737349275,1.09128513,72.84721201,-23.42169178,84,9,54,54,17.8537617,55,11,13.20168349
08-02-1980,UK,35.86400739,9.79429355,6,9.155373999,1.076018488,31.45767812,-29.98676028,87,50,60,10,20.30349928,33,0,12.4395391
09-02-1980,India,38.45308892,14.42805675,9,3.239280816,0.654330212,94.43210851,-20.3815819,89,63,49,94,25.37937119,19,14,1.913611432
10-02-1980,Germany,47.59025032,17.5604382,5,9.004116381,1.724230586,37.91195605,19.33806786,76,70,62,77,0.139019848,23,6,11.16590056
11-02-1980,UK,68.08379381,15.85229863,2,5.054209265,1.652944264,41.20201672,24.09541997,75,55,63,43,11.77665837,27,14,6.746466617
12-02-1980,Australia,55.3541212,24.61610923,5,3.168051332,1.445374561,63.44737958,5.067189793,61,31,13,89,28.8897455,10,9,5.008227278
13-02-1980,Germany,61.89509373,3.456633597,1,8.965082351,0.652184708,62.9300594,-26.31434322,51,22,89,64,2.96015295,91,5,13.19474379
14-02-1980,Australia,79.25872775,10.74342522,9,0.320372668,0.893512048,62.11687508,20.72475128,92,53,50,5,7.003455441,85,15,8.39419852
15-02-1980,Brazil,68.40027177,10.62076842,9,0.280188513,1.18837171,61.59292016,-23.13460179,69,72,26,30,17.12793236,29,13,7.51852098
16-02-1980,UK,51.71807491,10.42633009,6,5.998296042,0.898957916,38.09682043,-18.66189346,84,92,39,42,25.73639233,37,11,11.76899029
17-02-1980,India,52.32209609,16.5949598,9,7.967507173,1.150960885,49.0969201,11.00605478,59,90,67,11,2.916099981,80,16,8.299628189
18-02-1980,Canada,60.93860385,12.24570151,3,7.515463074,0.838936311,63.40900988,-2.770138282,57,84,8,64,0.120912184,85,9,12.87011378
19-02-1980,Japan,63.26826042,12.935814,4,0.794695034,1.024400756,70.41431113,7.180314182,89,69,55,51,20.61065547,0,9,1.543514303
20-02-1980,China,55.03554629,10.8088998,6,9.502511935,1.478445325,32.78161122,20.80615229,95,89,90,69,17.91906145,83,7,11.64199597
21-02-1980,USA,62.24306114,24.79248653,4,7.030635376,1.838541621,73.13275555,-17.19943711,85,83,38,92,8.131815116,68,10,2.457518849
22-02-1980,India,31.17662472,23.18903372,1,9.491120537,1.077546022,93.09486251,41.44693918,80,60,14,29,28.72844753,32,17,3.378470181
23-02-1980,UK,51.48114319,7.693104734,7,3.29097759,1.537862347,78.2134933,14.75840517,64,78,88,76,16.77449701,64,12,2.691772813
24-02-1980,Japan,43.9469038,2.789848119,5,6.93939128,0.70218963,17.58095225,-28.23253796,91,19,17,93,19.90239969,43,19,3.57632028
25-02-1980,India,36.45872226,20.9941181,8,8.599387467,1.311226967,52.22135981,20.27622734,67,52,51,75,11.36346587,63,15,10.97746045
26-02-1980,UK,34.97732564,24.92925629,9,3.804642232,1.882556338,49.1737452,7.054314542,64,14,60,73,27.64764613,8,13,9.829975685
27-02-1980,Mexico,60.15960828,7.315222351,5,9.648599188,0.541903707,40.28529808,26.13112892,68,28,93,54,8.282299038,31,11,3.446719418
28-02-1980,Mexico,56.18002736,8.944623146,8,2.649927912,0.901336043,54.21881259,32.72268984,73,69,36,38,22.46362584,53,12,4.052624052
29-02-1980,Australia,42.67920585,23.54082954,1,3.15613626,0.698740301,49.56703961,45.10758827,84,79,79,73,3.499981886,25,12,1.489411689
01-03-1980,India,53.54750294,17.77823795,1,9.203285766,1.299682219,10.55534295,49.86766354,51,64,52,81,16.13359602,61,15,6.216532833
02-03-1980,Mexico,54.61161576,7.390958294,7,9.696597465,1.519463696,31.28997503,13.96935948,62,61,11,5,17.33368692,41,0,5.678777447
03-03-1980,UK,39.75044902,14.52616228,6,2.851957483,0.586668788,29.24039308,14.92066825,94,69,80,55,5.650606931,47,11,2.187236869
04-03-1980,Australia,62.60465309,23.60573948,5,1.363900396,0.605426631,41.43335871,-28.20437992,58,15,24,7,9.71330229,5,8,12.51937561
05-03-1980,UK,69.04596782,20.29532767,5,7.590554097,1.804443789,25.70110676,39.21363788,84,53,78,83,5.360915908,29,12,12.78892573
06-03-1980,Australia,69.57317704,18.54581784,9,9.296652663,1.184349723,16.10212993,-27.70256052,51,96,24,54,25.35078258,22,12,1.635702022
07-03-1980,India,60.12349154,18.42490779,1,6.007136437,1.194427399,27.69515695,20.61318456,95,6,20,15,19.7156718,88,7,3.995489299
08-03-1980,Japan,55.58192913,4.450508107,8,6.345189544,1.916870592,86.87681078,-22.1138417,65,59,82,1,13.39302278,24,17,11.04133501
09-03-1980,Canada,33.05035715,20.61703098,2,7.629433342,0.980314415,81.73354068,-7.132911671,95,9,87,63,16.67940751,12,17,13.04950037
10-03-1980,Germany,44.39156494,6.902965811,7,1.530848188,1.845535471,49.78865777,-18.77363575,85,52,6,10,10.32124652,24,8,1.075094829
11-03-1980,Japan,34.66357234,23.25916645,6,9.734688965,1.961382117,89.00335306,-19.00845695,51,7,75,87,12.86217978,16,0,13.53555483
12-03-1980,Brazil,78.19115804,9.115999775,2,3.643293847,0.862541296,30.93990563,-24.03192141,65,84,48,82,18.58115402,26,6,0.924557321
13-03-1980,UK,36.75400731,21.44150993,3,6.282404259,1.271058274,62.57882271,-4.569441441,57,89,38,3,6.344358027,10,12,9.506759391
14-03-1980,Brazil,37.58877049,6.655837363,4,4.686160205,1.301534229,22.8632388,3.892107556,50,36,74,2,4.022888738,5,14,0.33112703
15-03-1980,Japan,74.47883092,12.86317341,7,4.681809798,1.799252168,85.00606206,7.157855427,67,81,96,14,28.3337668,78,1,13.92397533
16-03-1980,Australia,77.19641417,2.672132387,8,7.027443721,0.955862205,21.75234017,5.176643157,90,3,48,67,7.105633973,36,7,5.305359741
17-03-1980,Germany,68.29145196,16.50297257,2,9.946622989,1.697063665,12.86741431,11.89536274,75,83,88,42,14.85673341,95,19,9.732046131
18-03-1980,Germany,30.27024618,20.90198188,8,6.590598505,1.956511087,34.60998071,38.78295433,93,82,33,80,22.84567549,87,4,2.769332986
19-03-1980,USA,30.06731355,17.96118203,9,7.940591316,1.760504979,91.08415804,20.54372926,54,96,74,8,16.68250226,74,8,4.81883124
20-03-1980,Germany,48.90503849,13.08146282,7,0.276160573,1.863710425,21.65113737,-28.61714632,70,22,15,24,19.04624041,92,16,11.20947723
21-03-1980,Canada,37.1697685,1.127896965,1,8.104273691,1.562531659,39.76032418,-16.16381774,84,8,95,64,4.902988408,71,13,14.5949383
22-03-1980,Germany,30.91930711,23.33602518,6,2.999758818,1.85593364,38.47734937,-2.084014228,89,37,14,65,11.84785428,36,8,14.88079936
23-03-1980,Japan,53.20333447,17.63723871,8,1.26701845,0.747275953,82.14816467,45.92349671,77,44,39,54,20.70710261,73,14,12.14519274
24-03-1980,USA,77.15309487,18.64660596,5,1.133340854,1.568542123,47.93728598,-23.7536482,75,44,78,44,6.29358715,58,19,12.7078956
25-03-1980,Japan,46.19097875,19.86701439,2,6.798748142,1.597816032,65.04103447,26.80954099,81,17,6,32,14.50669515,9,0,14.5410579
26-03-1980,Japan,63.05703392,18.69358565,5,9.97616836,1.15877142,46.39447052,-27.35254946,97,45,39,21,17.67749251,0,12,0.604750347
27-03-1980,China,62.61176766,11.0279041,8,6.661950984,0.619607701,59.63113136,-0.99702648,99,1,65,41,23.67998385,51,9,2.552256705
28-03-1980,USA,42.55400518,18.34054573,2,2.623481501,1.433665619,15.61966516,31.6119011,93,47,69,75,6.490262986,86,11,0.790166678
29-03-1980,Japan,62.52126244,15.6256697,1,2.03305971,0.57782121,43.66264943,-2.485653085,93,16,99,26,29.34275802,17,13,7.517417299
30-03-1980,China,40.61669871,21.35040834,4,5.259570993,1.073603744,86.9595254,4.422564799,70,15,91,10,29.02279048,86,5,14.37733868
31-03-1980,China,36.10037068,20.06149538,4,0.650392994,1.090505343,72.19608069,42.42436226,53,44,21,41,0.368805612,4,10,8.736542803
01-04-1980,USA,65.06916428,1.034359562,9,3.993308329,1.998383763,98.36461397,-24.70647269,91,47,58,77,11.03932567,94,6,8.331061738
02-04-1980,Brazil,35.67204086,9.472177258,3,6.66234904,0.949703051,80.91275836,12.21298602,90,23,4,77,2.035185494,83,19,12.40029527
03-04-1980,Australia,79.84546093,0.867903805,4,9.676622758,1.730680907,50.63587434,-0.700995313,85,94,17,21,9.517397899,92,3,13.93423323
04-04-1980,Canada,39.17262006,2.551873119,3,4.256534478,0.579757528,70.86524119,47.10493372,73,64,10,8,18.21188658,47,11,10.47832847
05-04-1980,Australia,59.70709314,15.03526805,2,2.002239404,1.294648978,79.83223081,33.49518635,82,91,7,78,18.26209583,32,1,13.43066056
06-04-1980,Germany,50.56872857,21.84554553,4,8.173624034,1.305037518,34.27152939,-20.23385781,54,32,19,96,2.899912846,56,19,2.628244185
07-04-1980,Canada,36.31932112,2.995618968,8,7.441995249,1.44312478,15.40161016,44.19278054,52,3,74,56,20.31355009,95,13,7.551105478
08-04-1980,Germany,31.39219538,11.27723219,1,8.597038882,1.715007805,46.52625412,-13.1029362,60,0,58,82,25.39016471,24,8,5.469075564
09-04-1980,Japan,61.13661411,22.77197262,8,2.147187275,1.642885073,23.02058459,-23.21458852,94,32,90,30,18.93493585,43,13,4.987819548
10-04-1980,UK,70.33787819,20.35752459,8,4.048321958,1.641512192,34.95170078,13.32746238,81,73,92,17,9.298978275,90,5,3.213754493
11-04-1980,USA,72.10078308,12.99169741,3,9.815544377,1.148440901,95.21609459,28.9305256,71,61,24,11,0.074851732,86,4,13.40994874
12-04-1980,Canada,54.13567365,19.28928598,6,1.580423198,1.591207224,86.23743339,27.28407116,60,2,57,39,19.45225603,65,19,6.755538287
13-04-1980,Canada,68.87277336,13.06734435,4,6.714508192,1.236973577,63.32174511,12.72448551,87,44,18,44,20.33261948,67,18,7.953810364
14-04-1980,Japan,63.64235667,3.952308432,1,2.371844615,0.600426768,46.11310359,9.418997954,71,20,1,48,21.26247797,24,17,4.14466045
15-04-1980,Brazil,66.21272637,3.118402831,1,5.001590063,1.835272674,33.78973242,47.56351178,53,63,57,0,1.177816833,44,6,14.4427634
16-04-1980,China,54.62995026,4.709205802,5,8.005096458,1.835244959,61.43124517,35.64470734,88,72,65,97,15.49343282,22,0,9.168150049
17-04-1980,Japan,61.67058701,8.773052374,8,4.885860526,0.984318147,57.98442247,25.89120305,52,56,6,6,12.40293791,99,19,0.010412683
18-04-1980,Mexico,70.27629568,23.26323169,1,8.054816933,1.870853929,80.27027275,-14.38308292,59,39,50,1,23.02044808,40,8,4.018386972
19-04-1980,China,49.89420878,19.99196034,2,4.263349054,1.636976058,93.52181699,35.58165528,86,61,94,85,21.68067684,86,7,14.99021387
20-04-1980,USA,70.29894504,10.82003903,7,9.993529299,1.101201846,39.60435712,29.98245948,68,42,32,3,28.51982491,32,10,14.62162236
21-04-1980,China,59.60084214,12.32691774,8,4.358282342,0.997258398,28.56673997,49.36212798,67,87,74,44,26.9253007,27,6,8.169247149
22-04-1980,Brazil,38.29505122,6.640236442,3,1.493794786,1.962714049,46.25196544,-19.36039137,77,45,12,45,16.74020385,7,16,8.461759051
23-04-1980,China,31.23420786,17.60882391,8,4.018695156,1.568940445,49.37871722,27.22363168,80,71,9,83,29.41421764,96,14,13.52382745
24-04-1980,USA,48.13768002,20.06914179,1,7.425931846,1.068214932,13.58832605,48.32665544,66,23,58,66,4.506384275,28,7,10.62848911
25-04-1980,Brazil,57.33481641,5.972617392,9,8.479377578,1.462975832,87.5526879,7.00744218,73,23,37,8,0.214760508,55,19,13.98324579
26-04-1980,Australia,71.99101761,1.045540595,2,4.601032992,1.357289299,99.60331048,28.67283547,50,9,19,81,3.23498547,14,11,7.186994616
27-04-1980,Canada,36.37428401,15.59722358,2,5.944768411,1.286810034,93.08878234,48.02965204,54,98,84,56,10.65335494,14,4,14.63851076
28-04-1980,Canada,70.01031738,14.06280298,4,8.448900678,1.467052848,87.45984815,13.79879151,81,67,13,15,22.65778095,36,7,8.093246773
29-04-1980,Germany,73.1504523,10.05327888,3,8.1354618,1.306439483,99.33402731,25.92332758,66,56,87,50,11.49200519,18,4,9.672584539
30-04-1980,Australia,37.53437435,16.09734854,4,6.577239054,1.482185531,91.70275888,-28.3932152,70,43,39,51,23.41805903,58,13,1.238502914
01-05-1980,Australia,72.57971597,13.76533245,6,8.150271043,1.861352843,71.95308587,11.57320845,90,72,6,8,22.28352413,50,3,9.174451426
02-05-1980,China,79.57267839,6.264539415,7,5.759107584,1.989897452,25.00809839,-9.535967517,92,74,68,82,23.83049403,84,14,11.5166392
03-05-1980,Canada,66.34194155,9.943224391,5,0.046481689,1.56393031,24.0715111,-19.50042861,71,47,5,5,5.618169366,34,19,6.589565195
04-05-1980,USA,69.23848409,10.70283924,2,0.412667844,1.891731203,14.39017719,26.68784677,88,76,39,43,15.4810056,89,9,7.536573149
05-05-1980,India,79.72076338,22.00619986,3,9.798083992,1.787615381,47.06477805,-26.87284089,88,26,52,78,21.38075365,91,16,5.899911317
06-05-1980,India,60.27406253,24.02260385,3,1.44992042,0.942556097,82.79416694,42.38921213,83,29,98,5,8.52524111,85,3,14.53562261
07-05-1980,Brazil,45.3943191,22.32503406,5,4.045164088,1.899361975,54.12663503,11.42189279,63,45,8,4,25.14079256,35,0,7.149363545
08-05-1980,Canada,71.8765417,17.9794506,5,9.33811275,0.6062135,42.96895351,21.85840922,65,11,64,92,23.37935898,52,5,1.893170163
09-05-1980,Canada,60.72428888,14.62481834,4,1.950394847,0.994882732,19.83122778,-9.72521607,54,59,19,45,3.596295833,79,7,0.433082743
10-05-1980,India,59.05977119,17.23154089,8,8.437913445,1.459917403,14.65779782,-15.4245585,67,18,5,26,6.53663955,11,3,11.58703796
11-05-1980,Canada,42.68177778,23.47773052,6,8.182675682,1.290373169,45.92612291,-10.49971031,53,67,95,44,7.121201873,27,13,8.215092727
12-05-1980,China,67.81671348,6.249968381,6,9.863296546,1.313618589,18.99328422,-11.41656072,93,53,76,40,26.35429667,70,1,0.04155758
13-05-1980,Mexico,34.08336379,13.37801269,1,2.816818336,1.692332495,19.31933555,39.16013026,77,33,38,89,5.60180617,32,4,5.73783956
14-05-1980,UK,76.21435354,17.24020048,6,3.153253554,0.792055523,45.58135825,32.98715212,94,86,20,27,18.66288877,87,14,13.71073905
15-05-1980,Australia,46.29117304,16.98117503,3,9.028780011,1.973113265,55.25591109,38.21892273,76,89,36,53,1.947362122,74,18,14.21632389
16-05-1980,Germany,36.38873264,6.306973989,6,2.340790592,1.156187341,26.80145983,28.78976349,55,6,11,31,16.5751607,78,13,0.803388725
17-05-1980,Brazil,52.11832666,14.66828818,6,5.47900957,1.924764897,71.61721176,21.48402892,60,81,69,88,4.23756307,82,6,1.851336205
18-05-1980,Mexico,32.12349546,19.89782856,2,7.073449592,1.074673797,47.68228006,12.22997518,96,41,14,52,17.26487175,54,8,0.073055176
19-05-1980,India,64.23130971,11.8769745,1,2.718842453,1.402680003,18.2730284,-8.76145389,70,67,20,70,11.03387171,78,0,13.03010568
20-05-1980,Australia,75.13527552,19.83245192,3,9.384129454,1.175467207,67.33307121,26.42903662,66,52,84,29,18.1704819,72,19,1.063293387
21-05-1980,Canada,71.86315036,8.997064944,5,6.656975481,1.513902746,42.12503368,-19.07324758,80,7,91,52,11.83329667,76,9,1.618502283
22-05-1980,Germany,36.36847367,23.46900318,4,0.471393083,0.775437094,14.70893294,10.88492349,83,21,99,30,25.62885634,49,10,3.414339744
23-05-1980,Canada,36.31355686,13.34821101,7,1.357375313,1.100942799,95.31834217,-14.37801852,62,25,80,11,22.7093319,28,11,13.75874327
24-05-1980,USA,70.67172412,14.89869877,4,1.907815701,0.602571683,61.40772614,10.38074439,72,76,45,8,25.34106628,57,0,10.32351011
25-05-1980,USA,76.21271373,0.78403922,8,2.44957364,1.397152125,52.99483321,-6.48740697,50,62,70,97,6.661566529,25,7,9.253220397
26-05-1980,Germany,53.03349149,4.256728428,7,7.3067737,1.944022548,87.32236554,-25.72162644,53,45,86,66,4.46447965,22,5,11.76985359
27-05-1980,Germany,54.94855585,15.82334701,9,0.889352448,0.568859773,94.30663864,10.29672103,79,80,85,36,16.72004005,16,11,10.39926746
28-05-1980,India,45.91310207,10.49675929,1,3.505946723,1.489445037,29.82896813,-15.4535833,80,43,9,27,26.18499637,4,8,11.18890231
29-05-1980,Germany,74.71325591,12.70409476,5,9.113833233,1.662646945,82.91300515,-17.10759739,96,61,81,85,3.318718695,58,3,1.10484658
30-05-1980,China,62.24514526,1.574285218,4,5.566676863,0.819662636,84.79719341,0.749271814,65,35,65,25,7.016645448,15,5,8.846479447
31-05-1980,Canada,44.41257886,20.85338096,6,2.654965638,0.90961144,14.89625152,-1.057027372,92,40,75,82,22.37994655,93,2,11.29810931
01-06-1980,Mexico,44.93914355,19.61264006,1,9.570562965,0.802371629,74.07497037,39.35662925,52,78,38,20,13.96082933,20,1,8.484879305
02-06-1980,Japan,74.56000365,4.633849393,6,2.44315892,0.946118955,15.66710936,15.17096183,61,81,21,9,18.10389911,4,17,0.1769231
03-06-1980,Germany,30.6817012,15.85823393,1,9.050996213,0.665123839,63.52059218,38.36539425,61,26,85,79,17.75263273,57,4,3.166798342
04-06-1980,Brazil,46.13632864,20.45788029,1,7.257696736,1.055521807,70.23130994,-18.25314767,60,69,41,23,12.37064883,25,11,14.44349996
05-06-1980,USA,57.71783406,16.02135341,8,7.40521037,1.053393793,43.03528195,-1.415178396,65,97,85,24,21.17106921,42,1,10.57041961
06-06-1980,China,37.4108731,7.759952382,2,7.649393184,1.710901185,89.2708747,14.42636941,78,40,5,51,25.5680743,93,4,10.32757351
07-06-1980,Australia,34.60493771,16.40277876,6,5.065693121,1.701437473,82.04605363,-17.74975445,70,4,51,89,27.23271147,58,17,9.903786627
08-06-1980,Japan,70.76381655,5.261543692,6,8.14578726,1.695085045,93.33637423,-19.75543469,94,56,36,0,1.39234796,85,5,1.917120003
09-06-1980,Mexico,74.72021943,7.956374932,6,8.361930978,1.35055387,38.3400574,22.91212786,93,75,83,52,16.60818383,57,10,0.061241715
10-06-1980,Japan,71.18032104,6.001741328,8,3.604867217,0.98882103,11.93750201,22.30671766,91,28,5,67,1.211146363,1,6,6.609784771
11-06-1980,Germany,74.93939449,13.92312756,4,4.003445182,1.116446775,83.03151403,-11.26730687,92,11,72,77,27.02790332,43,15,6.664866073
12-06-1980,India,57.65559855,2.705666169,3,8.887567185,0.976615257,30.06796204,-11.83011556,99,24,28,23,12.87797422,75,7,12.17708177
13-06-1980,USA,70.61290605,23.33275951,6,5.247292604,1.372891857,52.04404365,29.63566235,54,33,68,26,27.0157623,90,2,2.723512745
14-06-1980,USA,49.20213192,8.337808842,4,8.669434959,1.906968682,83.55890547,-20.64097285,62,74,50,26,5.630502296,25,10,4.126667446
15-06-1980,Australia,63.31339307,5.474253178,2,6.267694618,0.926745176,29.45216608,43.86107973,66,86,76,87,4.871137211,43,19,1.173634975
16-06-1980,India,79.44177657,12.41374534,6,5.935677567,1.188277726,38.07178865,45.49908168,61,23,26,64,27.24972429,88,18,5.998125529
17-06-1980,Canada,41.28638619,6.924945461,5,0.309809533,1.482675395,49.51719877,39.67938585,66,81,86,38,28.15126749,18,10,3.839846227
18-06-1980,UK,49.49498731,13.37260216,9,2.778943978,1.767042368,34.46423651,-13.14581608,50,62,36,76,23.00368902,48,8,3.943437662
19-06-1980,China,54.00236887,8.712728745,6,5.020576469,0.880000881,51.51892807,-28.65586002,57,62,45,83,6.660761184,90,11,3.810796307
20-06-1980,USA,36.90077435,3.301670269,3,5.873171721,0.920434926,10.863698,44.93526735,65,9,97,35,5.159561783,80,15,3.472777637
21-06-1980,Brazil,34.05193052,6.647381051,5,6.30434529,1.827748298,29.09691755,-2.482253812,64,4,24,75,22.44039218,56,4,4.796895454
22-06-1980,USA,71.48614332,10.96099612,8,7.16222825,0.62038718,84.92980237,-5.167178801,68,94,36,68,19.0432415,5,1,8.050352472
23-06-1980,Japan,78.83971864,0.757330662,9,6.562334323,1.408171409,47.21337627,-9.065793587,74,88,22,4,26.16229975,22,9,6.565654157
24-06-1980,USA,50.23625319,19.26606318,8,8.485767074,1.790683124,67.2765191,-10.43710616,80,52,91,80,8.304342551,81,1,0.951704418
25-06-1980,USA,34.38249181,15.54561411,3,2.954703429,1.882614126,30.90591349,28.76426324,91,80,25,9,8.860714208,42,3,6.387897956
26-06-1980,UK,33.29058803,15.03399018,9,6.415699857,0.519030881,68.4890798,42.63149028,51,27,75,15,21.94923359,43,15,12.69417382
27-06-1980,UK,74.56591032,13.6512483,3,0.511595142,1.054498966,99.99764809,32.88450927,74,64,51,87,8.036058234,65,5,1.510561762
28-06-1980,Mexico,53.19071249,14.75782931,8,4.801900773,0.885897179,63.57588755,23.92863728,80,44,2,92,13.87131696,44,9,14.16542399
29-06-1980,Canada,46.00136583,23.36629882,9,2.68032966,1.352048883,66.55227064,-6.979394975,53,65,72,52,15.60426429,18,6,4.628855561
30-06-1980,Brazil,53.82306356,0.21423027,7,3.808871483,1.449293415,20.0367842,13.75707802,53,48,78,13,20.07553569,3,4,0.218034441
01-07-1980,USA,45.91520473,1.194992741,4,3.546627518,1.999661716,46.30433245,-11.04262619,61,39,71,73,10.33150523,96,12,3.797333686
02-07-1980,USA,54.45178877,4.787335248,9,0.604306772,1.269143745,87.46524086,-21.07943166,66,65,27,28,25.75010939,97,8,1.044894308
03-07-1980,China,72.97781985,4.1825345,3,4.666458008,1.327200318,85.08447763,-20.37656301,70,90,89,27,12.0698708,95,8,8.495720191
04-07-1980,UK,59.61506855,4.529861487,3,9.94629288,1.121470262,57.01591993,18.30152842,78,7,79,16,1.241198911,56,14,4.744876913
05-07-1980,Brazil,64.73268864,16.79859715,2,2.989360568,0.721515857,91.31087348,-26.9216273,71,26,33,68,2.010062796,81,3,12.10314921
